Kenya Medical Training College Mbooni	r.kmtc-mbooni.n.kenet.or.ke
Kenya Medical Training College Mbuvo	r.kmtc-mbuvo.n.kenet.or.ke
Kenya Medical Training College Meru	r.kmtc-meru.m.kenet.or.ke
Kenya Medical Training College Miathene	r.kmtc-miathene.m.kenet.or.ke
Kenya Medical Training College Migori	r.kmtc-migori.k.kenet.or.ke
Kenya Medical Training College Molo	r.kmtc-molo.a.kenet.or.ke
Kenya Medical Training College Mombasa	r.kmtc-msa.s.kenet.or.ke
Kenya Medical Training College Mosoriot	r.kmtc-mosoriot.e.kenet.or.ke
Kenya Medical Training College Msambweni	r.kmtc-msambweni.s.kenet.or.ke
Kenya Medical Training College Mumias	r.kmtc-mumias.k.kenet.or.ke
Kenya Medical Training College Murang'a	r.kmtc-muranga.m.kenet.or.ke
Kenya Medical Training College Mwingi	r.kmtc-mwingi.n.kenet.or.ke
Kenya Medical Training College Nairobi	r.kmtc.n.kenet.or.ke
Kenya Medical Training College Nakuru	r.kmtc-nakuru.a.kenet.or.ke
Kenya Medical Training College Navakholo	r.kmtc-navakholo.k.kenet.or.ke
Kenya Medical Training College Nyahururu	r.kmtc-nyahururu.a.kenet.or.ke
Kenya Medical Training College Nyamache	r.kmtc-nyamache.k.kenet.or.ke
Kenya Medical Training College Nyamira	r.kmtc-nyamira.k.kenet.or.ke
Kenya Medical Training College Nyandarua	r.kmtc-nyandarua.a.kenet.or.ke
Kenya Medical Training College Nyeri	r.kmtc-nyeri.m.kenet.or.ke
Kenya Medical Training College Oloitoktok	r.kmtc-oloitokitok.n.kenet.or.ke
Kenya Medical Training College Othaya	r.kmtc-othaya.m.kenet.or.ke
Kenya Medical Training College Port Reitz	r.kmtc-port-reitz.s.kenet.or.ke
Kenya Medical Training College Rachuonyo	r.kmtc-rachuonyo.k.kenet.or.ke
Kenya Medical Training College Rera	r.kmtc-rera.k.kenet.or.ke
Kenya Medical Training College Siaya	r.kmtc-siaya.k.kenet.or.ke
Kenya Medical Training College Sigowet	r.kmtc-sigowet.a.kenet.or.ke
Kenya Medical Training College Tana River	r.kmtc-tana-river.s.kenet.or.ke
Kenya Medical Training College Taveta	r.kmtc-taveta.s.kenet.or.ke
Kenya Medical Training College Teso	r.kmtc-teso.k.kenet.or.ke
Kenya Medical Training College Thika	r.kmtc-thika.n.kenet.or.ke
Kenya Medical Training College Transmara	r.kmtc-transmara.a.kenet.or.ke
Kenya Medical Training College Ugenya	r.kmtc-ugenya.k.kenet.or.ke
Kenya Medical Training College Ugunja	r.kmtc-ugunja.k.kenet.or.ke
Kenya Medical Training College Vihiga	r.kmtc-vihiga.k.kenet.or.ke
Kenya Medical Training College Voi	r.kmtc-voi.s.kenet.or.ke
Kenya Medical Training College Wajir	r.kmtc-wajir.n.kenet.or.ke
Kenya Medical Training College Webuye	r.kmtc-webuye.k.kenet.or.ke
Kenya Military academy -Former NDU now KMA	r.kma.a.kenet.or.ke
Kenya National Examinations Council - Caledonia/Mitihani Hse	r.knec-mitihanihse.n.kenet.or.ke
Kenya National Examinations Council - Headquarters	r.knec-hq.n.kenet.or.ke
Kenya National Qualifications Authority	r.knqa.n.kenet.or.ke
Kenya School of Government Embu	r.ksg-embu.m.kenet.or.ke
Kenya School of Government Matuga	r.ksg-matuga.s.kenet.or.ke
Kenya School of Government Mombasa	r.ksg-msa.s.kenet.or.ke
Kenya School of Law Karen	r.ksl-karen.n.kenet.or.ke
Kenya School of Law Town	r.ksl-town.n.kenet.or.ke
Kenya space Agency	r.ksa.n.kenet.or.ke
Kenya Technical Trainers College	r.kttc.n.kenet.or.ke
Kenya Universities and Colleges Central Placement Service - KUCCPS	r.kuccps.n.kenet.or.ke
Kenya Utalii college	r.utalii-college.n.kenet.or.ke
Kenya Veterinary Vaccines Production Institute - KEVEVAPI HQ	r.kevevapi-hq.n.kenet.or.ke
Kenya Veterinary Vaccines Production Institute - KEVEVAPI Upper Kabete	r.kevevapi.n.kenet.or.ke
Kenya Water Institute-Chiakariga	r.kewi-chiakariga.m.kenet.or.ke
Kenya Water Institute-HQ	r.kewi-hq.n.kenet.or.ke
Kenya Water Institute-Indstrial Area	r.kewi-industrial.n.kenet.or.ke
Kenya Water Institute-Kisumu	r.kewi-ksm.k.kenet.or.ke
Kenya Water Institute-Kitui	r.kewi-kitui.n.kenet.or.ke
Kenya Wildlife Service - KWS HQ	r.kws-hq.n.kenet.or.ke
Kenyatta University Teaching and Referral Hospital - Main	r.ku-hosp.n.kenet.or.ke
Kenyatta University-City	r.ku-city.n.kenet.or.ke
Kenyatta University-Kitui	r.ku-kitui.n.kenet.or.ke
Kenyatta University-Main	r.ku-main.n.kenet.or.ke
Kenyatta University-Mombasa	r.ku-msa.s.kenet.or.ke
Kenyatta University-Nakuru	r.ku-nakuru.a.kenet.or.ke
Kenyatta University-North Coast	r.ku-north-coast.s.kenet.or.ke
Kenyatta University-Parklands	r.ku-parklands.n.kenet.or.ke
Kenyatta University-Ruiru	r.ku-ruiru.n.kenet.or.ke
Kenyenya Teachers Training College	r.kenyenya-ttc.k.kenet.or.ke
Kericho Township Technical and Vocational College	r.kericho-west-tvc.a.kenet.or.ke
Keroka Technical Training Institute	r.keroka-tti.k.kenet.or.ke
Kibabii Diploma Teachers College Syombe	r.kibabii-ttc-syombe.e.kenet.or.ke
Kibabii Diploma Teachers College Tuuti Campus	r.kibabii-ttc-tuuti.e.kenet.or.ke
Kibabii University	r.kibabii.e.kenet.or.ke
Kipchoge University	r.kipchoge.test.or.ke
Kisii National Polytechnic	r.kisii-poly.k.kenet.or.ke
Kisii University Eldoret	r.kisii-eld.e.kenet.or.ke
Kisii University Kericho	r.kisii-kericho.a.kenet.or.ke
Kisii University Migori	r.kisii-migori.k.kenet.or.ke
Kisii University Nairobi	r.kisii-nrb.n.kenet.or.ke
KIST - Kiambu Insitute of Science & Technology	r.kist.n.kenet.or.ke
Kisumu Polytechnic	r.ksm-poly.k.kenet.or.ke
Kitale National Polytechnic	r.kitale-poly.e.kenet.or.ke
Laikipia University	r.luc.a.kenet.or.ke
Lawson School	r.lawson-sch.n.kenet.or.ke
Limuru Technical and Vocational College	r.limuru-tvc.n.kenet.or.ke
Livingroom Hospital Main	r.livingroom-int.e.kenet.or.ke
Livingroom International Kipkaren Hospital	r.livingroom-int-kipkaren.e.kenet.or.ke
Lugari Diploma Teachers Training College	r.lugari-dip-ttc.e.kenet.or.ke
Lukenya University	r.lukenya.n.kenet.or.ke
Luora TTI	r.luora-tti.test.or.ke
Maasai Mara University	r.narok.a.kenet.or.ke
